epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,362.458,1.40914,1.3806,0.00515,0.68969,0.60357,0.64136,0.43251,1.34903,1.29041,0.00792,0.00130565,0.00130565,0.00130565
33,373.076,1.40305,1.40813,0.00508,0.73954,0.65807,0.68021,0.46939,1.33425,1.25221,0.008,0.00128398,0.00128398,0.00128398
34,381.587,1.39591,1.33632,0.00508,0.67686,0.59183,0.6139,0.4035,1.38792,1.49401,0.00797,0.00126188,0.00126188,0.00126188
35,390.868,1.40713,1.30884,0.00499,0.68549,0.67494,0.66694,0.46762,1.2761,1.27677,0.00745,0.00123936,0.00123936,0.00123936
36,401.439,1.34113,1.2413,0.00441,0.78201,0.61916,0.68961,0.45618,1.41735,1.26847,0.00852,0.00121645,0.00121645,0.00121645
37,412.024,1.34245,1.26969,0.00475,0.69587,0.63881,0.66335,0.46097,1.27196,1.36201,0.00742,0.00119317,0.00119317,0.00119317
38,421.941,1.33852,1.28021,0.00509,0.74051,0.61374,0.68733,0.47029,1.33937,1.26256,0.00743,0.00116955,0.00116955,0.00116955
39,433.266,1.32205,1.29173,0.00478,0.7226,0.57156,0.64747,0.45773,1.28352,1.56017,0.00758,0.0011456,0.0011456,0.0011456
40,442.302,1.29162,1.21045,0.00431,0.71714,0.58861,0.65361,0.45377,1.31689,1.62588,0.00775,0.00112135,0.00112135,0.00112135
41,454.604,1.32388,1.27837,0.00475,0.69486,0.63073,0.65143,0.4452,1.33393,1.29982,0.00807,0.00109683,0.00109683,0.00109683
42,463.343,1.26818,1.16074,0.00448,0.69662,0.65006,0.67739,0.45073,1.30522,1.23284,0.00734,0.00107205,0.00107205,0.00107205
43,474.85,1.30078,1.18771,0.00426,0.74434,0.62396,0.67008,0.48296,1.2233,1.42835,0.00718,0.00104705,0.00104705,0.00104705
44,484.254,1.30459,1.20304,0.00442,0.77234,0.66995,0.72015,0.51101,1.21258,1.11986,0.00713,0.00102184,0.00102184,0.00102184
45,495.75,1.32074,1.29363,0.00456,0.6264,0.64704,0.64069,0.45242,1.25302,1.40949,0.00703,0.000996456,0.000996456,0.000996456
46,504.903,1.27894,1.22375,0.00421,0.70769,0.61118,0.67333,0.46056,1.3057,1.47237,0.00724,0.000970919,0.000970919,0.000970919
47,514.697,1.25491,1.15916,0.00441,0.66877,0.67034,0.68101,0.47167,1.24776,1.30866,0.00703,0.000945256,0.000945256,0.000945256
48,524.823,1.23986,1.14489,0.00418,0.69439,0.68886,0.70502,0.49327,1.24948,1.1896,0.00734,0.00091949,0.00091949,0.00091949
49,534.651,1.1988,1.08117,0.00408,0.79371,0.62901,0.70419,0.50265,1.21521,1.07921,0.007,0.000893648,0.000893648,0.000893648
50,545.021,1.27954,1.18668,0.00419,0.75887,0.62173,0.68712,0.48944,1.25409,1.29833,0.00732,0.000867754,0.000867754,0.000867754
51,554.803,1.22233,1.11867,0.00436,0.72831,0.63104,0.68661,0.48289,1.20856,1.13087,0.0066,0.000841835,0.000841835,0.000841835
52,566.163,1.19255,1.08426,0.00399,0.77668,0.64908,0.70258,0.48218,1.21549,1.2301,0.00688,0.000815916,0.000815916,0.000815916
53,577.618,1.22921,1.07506,0.00399,0.79295,0.63727,0.7165,0.49845,1.18183,1.22222,0.00674,0.000790022,0.000790022,0.000790022
54,587.79,1.19414,1.05835,0.00393,0.73148,0.66451,0.70357,0.49531,1.21419,1.16052,0.00696,0.00076418,0.00076418,0.00076418
55,596.36,1.18503,1.06948,0.00392,0.76813,0.65491,0.70649,0.5058,1.21188,1.16242,0.00704,0.000738414,0.000738414,0.000738414
56,607.373,1.17437,0.98965,0.00376,0.72388,0.7253,0.74267,0.51959,1.18893,1.06031,0.00677,0.000712751,0.000712751,0.000712751
57,617.779,1.17152,1.03727,0.00375,0.73504,0.68124,0.73008,0.51222,1.20894,1.08097,0.00667,0.000687214,0.000687214,0.000687214
58,628.351,1.17465,1.05706,0.0039,0.78011,0.66023,0.73141,0.5244,1.16795,1.16044,0.00669,0.000661831,0.000661831,0.000661831
59,639.43,1.17724,1.03145,0.00381,0.81138,0.65386,0.69835,0.50096,1.14867,1.18915,0.00618,0.000636625,0.000636625,0.000636625
60,653.538,1.19387,1.07881,0.004,0.76422,0.66625,0.69005,0.49178,1.16804,1.25808,0.00659,0.000611621,0.000611621,0.000611621
61,663.146,1.14334,1.02047,0.00367,0.82509,0.62382,0.7205,0.52003,1.15761,1.1367,0.00622,0.000586845,0.000586845,0.000586845
62,673.417,1.12841,1.07544,0.00399,0.74,0.69454,0.72052,0.51356,1.14708,1.15911,0.00637,0.00056232,0.00056232,0.00056232
63,682.632,1.14106,1.01455,0.0038,0.76854,0.70114,0.74728,0.5359,1.13733,1.13416,0.00631,0.000538072,0.000538072,0.000538072
64,692.776,1.1001,0.93308,0.00344,0.73398,0.64886,0.67421,0.48154,1.17509,1.28851,0.0063,0.000514122,0.000514122,0.000514122
65,704.158,1.07544,0.91633,0.00346,0.80257,0.67838,0.72802,0.51591,1.16485,1.06963,0.0065,0.000490497,0.000490497,0.000490497
66,714.321,1.12075,1.00431,0.00353,0.71742,0.66149,0.67053,0.49525,1.12487,1.21079,0.00613,0.000467218,0.000467218,0.000467218
67,723.466,1.10276,0.96271,0.00364,0.82816,0.67197,0.73852,0.53655,1.1257,1.0241,0.00624,0.000444309,0.000444309,0.000444309
68,734.504,1.09611,0.94267,0.00372,0.78658,0.66421,0.70637,0.50797,1.13712,1.24179,0.00614,0.000421792,0.000421792,0.000421792
69,745.019,1.05164,0.94369,0.00338,0.75402,0.70109,0.72877,0.53108,1.12448,1.12332,0.00614,0.000399689,0.000399689,0.000399689
70,753.686,1.0521,0.89171,0.0034,0.77529,0.66371,0.71014,0.5118,1.12773,1.15826,0.0061,0.000378023,0.000378023,0.000378023
71,763.607,1.07178,0.98337,0.00383,0.79057,0.69341,0.7467,0.53758,1.11105,1.09257,0.00598,0.000356815,0.000356815,0.000356815
72,772.884,1.01471,0.88129,0.00318,0.79153,0.70652,0.74032,0.54005,1.10795,1.07552,0.00598,0.000336086,0.000336086,0.000336086
73,784.401,1.03729,0.8467,0.00329,0.77618,0.69644,0.72708,0.52764,1.16048,1.08294,0.00632,0.000315855,0.000315855,0.000315855
74,796.073,1.02799,0.87193,0.00313,0.80761,0.6447,0.70455,0.5069,1.16553,1.15275,0.00636,0.000296144,0.000296144,0.000296144
75,804.772,1.08722,0.90516,0.0035,0.78781,0.67619,0.71771,0.52113,1.13132,1.11653,0.00612,0.000276971,0.000276971,0.000276971
76,817.169,1.0506,0.90944,0.00324,0.81421,0.68425,0.74227,0.54239,1.09071,1.07815,0.00583,0.000258355,0.000258355,0.000258355
77,827.782,1.02997,0.86889,0.00329,0.81079,0.70273,0.7326,0.5489,1.10062,1.01985,0.00601,0.000240316,0.000240316,0.000240316
78,838.132,1.01997,0.88179,0.00331,0.81568,0.7039,0.73295,0.54058,1.07941,1.02018,0.00587,0.00022287,0.00022287,0.00022287
79,847.196,1.01137,0.83888,0.00331,0.834,0.67381,0.73263,0.53764,1.09909,1.02794,0.00594,0.000206034,0.000206034,0.000206034
80,857.619,0.99593,0.9098,0.00312,0.82781,0.68241,0.73573,0.5407,1.08588,1.03752,0.00586,0.000189827,0.000189827,0.000189827
81,868.795,1.01496,0.85474,0.00341,0.87129,0.66257,0.73031,0.53356,1.10726,1.04233,0.00599,0.000174262,0.000174262,0.000174262
82,878.174,0.99393,0.83327,0.00316,0.79859,0.70372,0.73563,0.54102,1.08056,1.03882,0.00599,0.000159357,0.000159357,0.000159357
83,887.542,0.95577,0.75578,0.003,0.78103,0.70356,0.74009,0.546,1.06829,0.98439,0.00583,0.000145125,0.000145125,0.000145125
84,902.614,1.00963,0.81489,0.00314,0.84429,0.6729,0.74025,0.54504,1.07155,1.01067,0.00584,0.000131581,0.000131581,0.000131581
85,912.399,0.95668,0.79355,0.00284,0.82521,0.67876,0.74131,0.54501,1.07883,1.01613,0.00587,0.000118737,0.000118737,0.000118737
86,928.309,0.95996,0.79068,0.00309,0.8632,0.64702,0.74014,0.54584,1.06755,1.03015,0.00576,0.000106608,0.000106608,0.000106608
87,937.328,1.00599,0.82663,0.00316,0.86694,0.64646,0.73974,0.54663,1.07125,1.01053,0.00578,9.52034e-05,9.52034e-05,9.52034e-05
88,948.119,0.96566,0.78531,0.00313,0.83081,0.6855,0.73999,0.54163,1.07244,1.00919,0.00579,8.4536e-05,8.4536e-05,8.4536e-05
89,963.602,0.99827,0.83691,0.0031,0.8365,0.67456,0.73883,0.5464,1.06193,1.01402,0.00577,7.4616e-05,7.4616e-05,7.4616e-05
90,973.22,1.07568,0.95895,0.00341,0.8219,0.68432,0.74253,0.54957,1.06867,1.01909,0.00576,6.54531e-05,6.54531e-05,6.54531e-05
91,995.557,0.89457,0.76388,0.00341,0.81827,0.66139,0.72958,0.53434,1.08693,1.05573,0.00591,5.70564e-05,5.70564e-05,5.70564e-05
92,1010.02,0.87308,0.72532,0.00312,0.78734,0.68058,0.7279,0.52917,1.0972,1.0478,0.00593,4.94343e-05,4.94343e-05,4.94343e-05
93,1025.5,0.85616,0.6817,0.00308,0.76752,0.68025,0.72671,0.5293,1.09531,1.05651,0.00595,4.25941e-05,4.25941e-05,4.25941e-05
94,1037.85,0.88865,0.7021,0.00309,0.76447,0.69366,0.72734,0.53336,1.09246,1.03805,0.00593,3.65426e-05,3.65426e-05,3.65426e-05
95,1049.66,0.84128,0.70499,0.00312,0.7956,0.67445,0.73111,0.53665,1.09527,1.03435,0.00596,3.12859e-05,3.12859e-05,3.12859e-05
96,1058.96,0.84515,0.68107,0.00311,0.78329,0.68374,0.73159,0.53459,1.09214,1.03632,0.00597,2.68292e-05,2.68292e-05,2.68292e-05
97,1071.19,0.8875,0.70376,0.00318,0.79009,0.67479,0.72872,0.53653,1.08427,1.04556,0.00593,2.31767e-05,2.31767e-05,2.31767e-05
98,1084.53,0.8738,0.7056,0.00308,0.78717,0.6864,0.73256,0.53889,1.09333,1.0436,0.00594,2.03321e-05,2.03321e-05,2.03321e-05
99,1092.8,0.83426,0.67862,0.00305,0.80107,0.67381,0.73239,0.53935,1.09025,1.03987,0.00594,1.82983e-05,1.82983e-05,1.82983e-05
100,1102.48,0.86753,0.69181,0.00305,0.79821,0.67454,0.73339,0.53865,1.09042,1.04224,0.00595,1.70772e-05,1.70772e-05,1.70772e-05
